#Position F1	Position F2	Assign F1
#5.52418	64.79939 Suc6
5.34547	64.66678 Glu1
5.06253	64.66683 Glu2
5.04138	66.36410 Rib1
4.97275	66.06100 Rib2
#5.24117	64.80209 Suc8
#3.68729	75.11855 Gly2.2
4.11253	67.07782 Iso1
3.87244	67.07818 Iso2
3.74837	60.26415 Eth1
3.50972	60.26361 Eth2
#4.48055	68.48202 Glu4
#4.75012	68.48547 Glu5
3.45003	51.73650 Met1
3.21285	51.73654 Met2
##5.52430	64.49595 Suc5
#5.24071	64.47858 Suc7
3.91076	62.78487 Suc1
3.91088	63.07075 Suc2
3.67125	62.78478 Suc3
3.67148	63.07107 Suc4
#3.63675	74.91649 Gly1
3.87533	74.90899 Gly2
#3.92681	74.85213 Gly1.2
#3.93283	75.11278 Gly1.2
#3.92934	75.38079 Gly1.3
#3.61389	75.39255 Gly4?
#3.85323	75.40736 Gly3?
#3.64740	73.84946 [27:1.2?]
#3.41359	73.84886	 [28:2.2?]
#3.56461	72.00445	 [29:3?]
#3.32463	72.00549	 [30:4?]
#5.36516	73.49639	 [31:5?]
#5.07678	73.49781	 [32:6?]
#5.49618	68.82125	 [33:7?]
#5.20778	68.81979	 [34:8?]
#3.69099	74.86031 Gly2.1
#3.68953	75.38412	 [39:Gly2.3]
#3.64746	73.58427	 [48:1.1?]
#3.64896	74.16307	 [49:1.3?]
#3.41444	73.58427	 [54:2.1?]
#3.41376	74.15453	 [55:2.3?]
